SCHOOL_DISTANCE,NEEDS_SCHOOL_BUS,CENSUS_REGION,HHFAMINC,HH_RACE,HH_HISP,MSASIZE,URBRUR
2.426,0,West South Central,"$35,000 to $49,999",Black or African American,No,In an MSA or CMSA of 3 million or more,Urban
2.426,0,West South Central,"$35,000 to $49,999",Black or African American,No,In an MSA or CMSA of 3 million or more,Urban
7.738,0,West South Central,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
15.403,1,East South Central,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,Middle Atlantic,"$15,000 to $24,999",White,No,"In an MSA of Less than 250,000",Urban
9.6765,0,South Atlantic,"$100,000 to $124,999",White,No,"In an MSA of 250,000 - 499,999",Urban
6.75,0,South Atlantic,"$100,000 to $124,999",White,No,"In an MSA of 250,000 - 499,999",Urban
22.066,0,Pacific,"$200,000 or more",Asian,No,In an MSA or CMSA of 3 million or more,Urban
4.58,0,Pacific,"$200,000 or more",Asian,No,In an MSA or CMSA of 3 million or more,Urban
1.71,0,West South Central,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,South Atlantic,"$125,000 to $149,999",Asian,No,"In an MSA of 500,000 - 999,999",Urban
2.625,1,South Atlantic,"$75,000 to $99,999",White,No,Not in MSA or CMSA,Urban
2.625,0,New England,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Rural
2.625,1,Middle Atlantic,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
5.575,1,Middle Atlantic,"$10,000 to $14,999",White,Yes,"In an MSA of Less than 250,000",Urban
0.222,0,West South Central,"$50,000 to $74,999",White,No,Not in MSA or CMSA,Urban
2.625,1,Middle Atlantic,"$150,000 to $199,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,Middle Atlantic,"$150,000 to $199,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,0,West South Central,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,West South Central,"$75,000 to $99,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,Pacific,"$25,000 to $34,999",Asian,No,"In an MSA of Less than 250,000",Urban
2.625,0,Pacific,"$25,000 to $34,999",Black or African American,No,In an MSA or CMSA of 3 million or more,Urban
2.625,1,Middle Atlantic,"$50,000 to $74,999",White,No,"In an MSA of Less than 250,000",Urban
2.625,1,South Atlantic,"$150,000 to $199,999",White,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
2.625,1,South Atlantic,"$150,000 to $199,999",White,Yes,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
4.852,1,West South Central,"$35,000 to $49,999",White,Yes,In an MSA or CMSA of 3 million or more,Urban
2.625,0,South Atlantic,"$200,000 or more",White,No,In an MSA or CMSA of 3 million or more,Urban
3.672,1,Pacific,"$125,000 to $149,999",White,No,"In an MSA of 500,000 - 999,999",Rural
18.1425,0,West South Central,"$50,000 to $74,999",White,Yes,"In an MSA of Less than 250,000",Rural
2.625,0,East North Central,"$35,000 to $49,999",White,No,"In an MSA of 500,000 - 999,999",Urban
1.99,0,Pacific,"$10,000 to $14,999",White,No,Not in MSA or CMSA,Urban
2.219,0,West South Central,"Less than $10,000",Asian,No,In an MSA or CMSA of 3 million or more,Urban
5.467,1,South Atlantic,"$25,000 to $34,999",White,Yes,"In an MSA of Less than 250,000",Urban
3.177,0,Pacific,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
5.022,0,Pacific,"$150,000 to $199,999",White,No,In an MSA or CMSA of 3 million or more,Urban
6.656,0,Pacific,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Urban
6.657,0,Pacific,"$100,000 to $124,999",White,No,"In an MSA of Less than 250,000",Urban
1.022,0,Pacific,"$35,000 to $49,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
0.569,0,Pacific,"$35,000 to $49,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
1.172,1,East North Central,"$35,000 to $49,999",White,No,In an MSA or CMSA of 3 million or more,Urban
1.668,1,East North Central,"$35,000 to $49,999",White,No,In an MSA or CMSA of 3 million or more,Urban
2.625,0,South Atlantic,"$150,000 to $199,999",White,No,"In an MSA of 250,000 - 499,999",Urban
5.168,0,Middle Atlantic,"$100,000 to $124,999",White,No,"In an MSA or CMSA of 1,000,000 - 2,999,999",Urban
